TE,NP,NU
0122080600,,АМУРСЬКА/С.АМУРСЬКЕ
0122080601,С,АМУРСЬКЕ
0122080602,С,ІСКРА
0122080603,С,НОВОЗУЇВКА
0122080604,С,НОВОІВАНІВКА
0122080605,С,НОВООЛЕКСІЄВКА
0122080606,С,ЦВІТКОВЕ
0122080800,,ВОСХОДНЕНСЬКА/С.ВОСХОД
0122080801,С,ВОСХОД
0122080802,С,ВОЛОДИМИРОВЕ
0122080803,С,ДОХОДНЕ
0122080804,С,ЗОРЯ
0122080805,С,ЗНАМ'ЯНКА
0122080806,С,КЛИМОВЕ
0122080807,С,НАХІМОВЕ
0122080808,С,НОВОСІЛЬЦІ
0122080809,С,ПЛОДОРОДНЕ
0122080810,С,ЧАПАЄВЕ
0122081000,,ЗЕРНІВСЬКА/С.ЗЕРНОВЕ
0122081001,С,ЗЕРНОВЕ
0122081002,С,НОВОКАТЕРИНІВКА
0122081400,,КАЛІНІНСЬКА/С.КАЛІНІНЕ
0122081401,С,КАЛІНІНЕ
0122081402,С,ВИШНЯКІВКА
0122081403,С,КОМУНАРИ
0122081404,С,ПОБЄДИНЕ
0122081800,,КЛЕПИНІНСЬКА/С.КЛЕПИНІНЕ
0122081801,С,КЛЕПИНІНЕ
0122081802,С,КАРПІВКА
0122081803,С,ЯСТРУБІВКА
0122082200,,КОЛОДЯЗЯНСЬКА/С.КОЛОДЯЗНЕ
0122082201,С,КОЛОДЯЗНЕ
0122082203,С,ДОКУЧАЄВЕ
0122082205,С,ПОЛОГИ
0122082400,,КОТЕЛЬНИКІВСЬКА/С.КОТЕЛЬНИКОВЕ
0122082401,С,КОТЕЛЬНИКОВЕ
0122082402,С,ДІБРІВСЬКЕ
0122082403,С,МАШИНЕ
0122082600,,КРАСНОЗНАМ'ЯНСЬКА/С.КРАСНОЗНАМ'ЯНКА
0122082601,С,КРАСНОЗНАМ'ЯНКА
0122082602,С,РАДУЖНЕ
0122082603,С,РОГОВЕ
0122082604,С,СИМОНЕНКО
0122082605,С,ТИМОШЕНКО
0122082606,С,ТРАКТОВЕ
0122082900,,ЛЕНІНСЬКА/С.ЛЕНІНСЬКЕ
0122082901,С,ЛЕНІНСЬКЕ
0122082902,С,ЗВІЗДНЕ
0122082904,С,ПРЯМЕ
0122083600,,МАР'ЯНІВСЬКА/С.МАР'ЯНІВКА
0122083601,С,МАР'ЯНІВКА
0122083602,С,УЛЬЯНОВКА
0122083603,С,ЩЕРБАКОВЕ
0122084000,,НАЙДЬОНІВСЬКА/С.НАЙДЬОНІВКА
0122084001,С,НАЙДЬОНІВКА
0122084002,С,ЗОЛОТЕ
0122084003,С,ОРЛІВКА
0122084400,,НОВОПОКРОВСЬКА/С.НОВОПОКРОВКА
0122084401,С,НОВОПОКРОВКА
0122084402,С,КРАСНА ДОЛИНА
0122084403,С,МИРОНІВКА
0122084404,С,МУСКАТНЕ
0122084405,С,НЕВСЬКЕ
0122084406,С,НОВОДОЛИНКА
0122084407,С,ПРОТОЧНЕ
0122084800,,ПЕТРІВСЬКА/С.ПЕТРІВКА
0122084801,С,ПЕТРІВКА
0122084802,С,БЛИЖНЄ
0122084803,С,ІЗВЕСТКОВЕ
0122084804,С,КРАСНА ПОЛЯНА
0122084805,С,КРЕМНІВКА
0122084806,С,МИРОЛЮБІВКА
0122084807,С,НОВОЕСТОНІЯ
0122084808,С,ПУШКІНЕ
0122085300,,ПОЛТАВСЬКА/С.ПОЛТАВКА
0122085301,С,ПОЛТАВКА
0122085302,С,КОМАРІВКА
0122085303,С,КУРГАННЕ
0122085600,,П'ЯТИХАТСЬКА/С.П'ЯТИХАТКА
0122085601,С,П'ЯТИХАТКА
0122085603,С,АЗОВ
0122085605,С,ЗАРІЧНЕ
0122085609,С,МЕНДЕЛЄЄВЕ
0122085611,С,САЛГИРКА
0122085613,С,ХОЛМОВЕ
0122086500,,РІВНІВСЬКА/С.РІВНЕ
0122086501,С,РІВНЕ
0122086503,С,МОЛОЧНЕ
0122086504,С,НЕКРАСОВЕ
0122086505,С,НОВОМИКІЛЬСЬКЕ
0122088700,,ЯНТАРНЕНСЬКА/С.ЯНТАРНЕ
0122088701,С,ЯНТАРНЕ
0122088702,С,ГРИГОРІВКА
0122088703,С,КРАСНИЙ ПАРТИЗАН
0122088704,С,УДАЧНЕ
0122300000,,КРАСНОПЕРЕКОПСЬКИЙ РАЙОН/М.КРАСНОПЕРЕКОПСЬК
0122380000,,СІЛЬРАДИ КРАСНОПЕРЕКОПСЬКОГО Р-НУ
0122380400,,БРАТСЬКА/С.БРАТСЬКЕ
0122380401,С,БРАТСЬКЕ
0122380402,С,ПОЛТАВСЬКЕ
0122380403,С,СВАТОВЕ
0122380800,,ВИШНІВСЬКА/С.ВИШНІВКА
0122380801,С,ВИШНІВКА
0122380802,С,ЗЕЛЕНА НИВА
0122380803,С,КРІПКЕ
0122380804,С,УТКІНЕ
0122381300,,ВОЇНСЬКА/С.ВОЇНКА
0122381301,С,ВОЇНКА
0122381302,С,ІСТОЧНЕ
0122381800,,ІЛЛІНСЬКА/С.ІЛЛІНКА
0122381801,С,ІЛЛІНКА
0122381802,С,ВОРОНЦІВКА
0122381803,С,КУРГАННЕ
0122381804,С,ТРАКТОВЕ
0122382200,,ІШУНСЬКА/С.ІШУНЬ
0122382201,С,ІШУНЬ
0122382203,С,НОВОРИБАЦЬКЕ
0122382205,С,ПРОЛЕТАРКА
0122382207,С,ТАНКОВЕ
0122382400,,КРАСНОАРМІЙСЬКА/С.КРАСНОАРМІЙСЬКЕ
0122382401,С,КРАСНОАРМІЙСЬКЕ
0122382402,С,НАДЕЖДИНЕ
0122382403,С,СМУШКИНЕ
0122382600,,МАГАЗИНСЬКА/С.МАГАЗИНКА
0122382601,С,МАГАЗИНКА
0122382602,С,БОГАЧІВКА
0122382603,С,НОВОІВАНІВКА
0122382604,С,НОВООЛЕКСАНДРІВКА
0122383000,,НОВОПАВЛІВСЬКА/С.НОВОПАВЛІВКА
0122383001,С,НОВОПАВЛІВКА
0122383002,С,ДОЛИНКА
0122383003,С,ПРИВІЛЬНЕ
0122383700,,ОРЛІВСЬКА/С.ОРЛІВСЬКЕ
0122383701,С,ОРЛІВСЬКЕ
0122383702,С,ЗНАМ'ЯНКА
0122383703,С,НОВОМИКОЛАЇВКА
0122383704,С,ШАТРИ
0122384800,,ПОЧЕТНЕНСЬКА/С.ПОЧЕТНЕ
0122384801,С,ПОЧЕТНЕ
0122384802,С,П'ЯТИХАТКА
0122385900,,СОВХОЗНЕНСЬКА/С.СОВХОЗНЕ
0122385901,С,СОВХОЗНЕ
0122385902,С,РИСОВЕ
0122385903,С,ТАВРІЙСЬКЕ
0122387000,,ФІЛАТІВСЬКА/С.ФІЛАТІВКА
0122387001,С,ФІЛАТІВКА
0122387002,С,КАРПОВА БАЛКА
0122700000,,ЛЕНІНСЬКИЙ РАЙОН/СМТ ЛЕНІНЕ
0122710000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ ЛЕНІНСЬКОГО Р-НУ
0122710500,М,ЩОЛКІНЕ
0122755000,,СЕЛИЩА МІСЬКОГО ТИПУ ЛЕНІНСЬКОГО Р-НУ
0122755100,Т,ЛЕНІНЕ
0122755300,Т,БАГЕРОВЕ
0122755301,С,ІВАНІВКА
0122780000,,СІЛЬРАДИ ЛЕНІНСЬКОГО Р-НУ
0122780400,,ОСТАНІНСЬКА/С.ОСТАНІНЕ
0122780401,С,ОСТАНІНЕ
0122780402,С,ЗЕЛЕНИЙ ЯР
0122780404,С,ПІСОЧНЕ
0122780800,,БАТАЛЬНЕНСЬКА/С.БАТАЛЬНЕ
0122780801,С,БАТАЛЬНЕ
0122780802,С,ЮЖНЕ
0122780803,С,ЯЧМІННЕ
0122781200,,БЄЛІНСЬКА/С.БЄЛІНСЬКЕ
0122781201,С,БЄЛІНСЬКЕ
0122781202,С,ВЕРХНЬОЗАМОРСЬКЕ
0122781203,С,ЗОЛОТЕ
0122781204,С,НИЖНЬОЗАМОРСЬКЕ
0122781205,С,НОВОВІДРАДНЕ
0122781206,С,СТАНЦІЙНЕ
0122781300,,ВИНОГРАДНЕНСЬКА/С.ВИНОГРАДНЕ
0122781301,С,ВИНОГРАДНЕ
0122781302,С,РОМАНОВЕ
0122781600,,ВОЙКОВСЬКА/С.ВОЙКОВЕ
0122781601,С,ВОЙКОВЕ
0122781602,С,БОНДАРЕНКОВЕ
0122781603,Щ,ЄГОРОВЕ
0122781604,С,КУРОРТНЕ
0122782000,,ГЛАЗІВСЬКА/С.ГЛАЗІВКА
0122782001,С,ГЛАЗІВКА
0122782002,С,ОСОВИНИ
0122782003,С,ЮРКИНЕ
0122782400,,ГОРНОСТАЇВСЬКА/С.ГОРНОСТАЇВКА
0122782401,С,ГОРНОСТАЇВКА
0122782800,,ЗАВІТНЕНСЬКА/С.ЗАВІТНЕ
0122782801,С,ЗАВІТНЕ
0122782802,С,КОСТИРІНЕ
0122782803,С,НАБЕРЕЖНЕ
0122782804,С,ЯКОВЕНКОВЕ
0122783200,,ІЛЛІЧІВСЬКА/С.ІЛЛІЧЕВЕ
0122783201,С,ІЛЛІЧЕВЕ
0122783600,,КАЛИНІВСЬКА/С.КАЛИНІВКА
0122783601,С,КАЛИНІВКА
0122783700,,КІРОВСЬКА/С.КІРОВЕ
0122783701,С,КІРОВЕ
0122783702,С,ВУЛКАНІВКА
0122783703,С,ЯРКЕ
0122783900,,КРАСНОГІРСЬКА/С.КРАСНОГІРКА
0122783901,С,КРАСНОГІРКА
0122783902,С,КОРОЛЬОВЕ
0122784600,,ЛЕНІНСЬКА/С.ЛЕНІНСЬКЕ
0122784601,С,ЛЕНІНСЬКЕ
0122784603,С,ФОНТАН
0122784800,,ЛУГІВСЬКА/С.ЛУГОВЕ
0122784801,С,ЛУГОВЕ
0122784802,С,ЄРОФЄЄВЕ
0122785100,,МАРФІВСЬКА/С.МАРФІВКА
0122785101,С,МАРФІВКА
0122785103,С,НОВОСЕЛІВКА
0122785104,С,ПРУДНИКОВЕ
0122785400,,МАР'ЇВСЬКА/С.МАР'ЇВКА
0122785401,С,МАР'ЇВКА
0122785402,С,БОРИСІВКА
0122785403,С,В'ЯЗНИКОВЕ
0122785404,С,ПТАШКИНЕ
0122785800,,МИСІВСЬКА/С.МИСОВЕ
0122785801,С,МИСОВЕ
0122785802,С,АЗОВСЬКЕ
0122785803,С,ЗАВОДСЬКЕ
0122785804,С,СЕМЕНІВКА
0122786100,,НОВОМИКОЛАЇВСЬКА/С.НОВОМИКОЛАЇВКА
0122786101,С,НОВОМИКОЛАЇВКА
0122786200,,ОКТЯБРСЬКА/С.ОКТЯБРСЬКЕ
0122786201,С,ОКТЯБРСЬКЕ
0122786400,,ПРИОЗЕРНІВСЬКА/С.ПРИОЗЕРНЕ
0122786401,С,ПРИОЗЕРНЕ
0122787500,,СЕМИСОТСЬКА/С.СЕМИСОТКА
0122787501,С,СЕМИСОТКА
0122787502,С,КАМ'ЯНСЬКЕ
0122787503,С,ЛЬВОВЕ
0122787504,С,ПЕТРОВЕ
0122787505,С,СОЛЯНЕ
0122787506,С,ФРОНТОВЕ
0122788000,,УВАРІВСЬКА/С.УВАРОВЕ
0122788001,С,УВАРОВЕ
0122788400,,ЧЕЛЯДІНІВСЬКА/С.ЧЕЛЯДІНОВЕ
0122788401,С,ЧЕЛЯДІНОВЕ
0122788402,С,ОГОНЬКИ
0122788600,,ЧИСТОПІЛЬСЬКА/С.ЧИСТОПІЛЛЯ
0122788601,С,ЧИСТОПІЛЛЯ
0122788602,С,ЗАТИШНЕ
0122788603,С,ЛІБКНЕХТІВКА
0122788604,С,ТАСУНОВЕ
0123100000,,НИЖНЬОГІРСЬКИЙ РАЙОН/СМТ НИЖНЬОГІРСЬКИЙ
0123155000,,СЕЛИЩА МІСЬКОГО ТИПУ НИЖНЬОГІРСЬКОГО Р-НУ
0123155100,Т,НИЖНЬОГІРСЬКИЙ
0123155101,С,ЗЕЛЕНЕ
0123155102,С,ЛІНІЙНЕ
0123180000,,СІЛЬРАДИ НИЖНЬОГІРСЬКОГО Р-НУ
0123180400,,ЯКИМІВСЬКА/С.ЯКИМІВКА
0123180401,С,ЯКИМІВКА
0123180402,С,ДВОРІЧЧЯ
0123180403,С,ЛУЖКИ
0123180600,,ДРОФИНСЬКА/С.ДРОФИНЕ
0123180601,С,ДРОФИНЕ
0123180602,С,СТРЕПЕТОВЕ
0123180603,С,ЯСТРУБКИ
0123180800,,ОМЕЛЯНІВСЬКА/С.ОМЕЛЯНІВКА
0123180801,С,ОМЕЛЯНІВКА
0123181200,,ЖЕЛЯБОВСЬКА/С.ЖЕЛЯБОВКА
0123181201,С,ЖЕЛЯБОВКА
0123181202,С,ЛОМОНОСОВЕ
0123181500,,ЖЕМЧУЖИНСЬКА/С.ЖЕМЧУЖИНА
0123181501,С,ЖЕМЧУЖИНА
0123181502,С,ПІНИ
0123181503,С,ПРИРІЧНЕ
0123182000,,ЗОРКІНСЬКА/С.ЗОРКІНЕ
0123182001,С,ЗОРКІНЕ
0123182002,С,МЕЖОВЕ
0123182003,С,НІЖИНСЬКЕ
0123182004,С,ШИРОКЕ
0123182200,,ІВАНІВСЬКА/С.ІВАНІВКА
0123182201,С,ІВАНІВКА
0123182202,С,ЗАРІЧЧЯ
0123182203,С,ТАМБОВКА
0123182204,С,ТАРАСІВКА
0123182400,,ІЗОБІЛЬНЕНСЬКА/С.ІЗОБІЛЬНЕ
0123182401,С,ІЗОБІЛЬНЕ
0123182600,,КІСТОЧКІВСЬКА/С.КІСТОЧКІВКА
0123182601,С,КІСТОЧКІВКА
0123182602,С,ФРУНЗЕ
0123182800,,ЛИСТВИНСЬКА/С.ЛИСТВИННЕ
0123182801,С,ЛИСТВИННЕ
0123182802,С,КИРСАНІВКА
0123182803,С,ЦВІТУЩЕ
0123183000,,МИТРОФАНІВСЬКА/С.МИТРОФАНІВКА
0123183001,С,МИТРОФАНІВКА
0123183002,С,БУРЕВІСНИК
0123183003,С,ПЛОДОВЕ
0123183004,С,РОЗЛИВИ
0123183005,С,ЧЕРВОНЕ
0123183400,,МИХАЙЛІВСЬКА/С.МИХАЙЛІВКА
0123183401,С,МИХАЙЛІВКА
0123183402,С,КУНЦЕВЕ
0123183403,С,УЮТНЕ
0123184600,,НОВОГРИГОРІВСЬКА/С.НОВОГРИГОРІВКА
0123184601,С,НОВОГРИГОРІВКА
0123184602,С,ВЛАДИСЛАВІВКА
0123184603,С,КОРІННЕ
0123185000,,ОХОТСЬКА/С.ОХОТСЬКЕ
0123185001,С,ОХОТСЬКЕ
0123185002,С,РОДНИКИ
0123185200,,ПШЕНИЧНЕНСЬКА/С.ПШЕНИЧНЕ
0123185201,С,ПШЕНИЧНЕ
0123185202,С,ДВОРОВЕ
0123185203,С,ЛЮБИМІВКА
0123185204,С,СЛИВ'ЯНКА
0123186100,,САДОВА/С.САДОВЕ
0123186101,С,САДОВЕ
0123186102,С,КУКУРУДЗЯНЕ
0123186103,С,СЄРОВЕ
0123187200,,УВАРІВСЬКА/С.УВАРІВКА
0123187201,С,УВАРІВКА
0123187202,С,НОВОІВАНІВКА
0123187203,С,СІМ'ЯНЕ
0123187400,,ЧКАЛОВСЬКА/С.ЧКАЛОВЕ
0123187401,С,ЧКАЛОВЕ
0123187402,С,ВЕЛИКОСІЛЛЯ
0123187403,С,ЗАЛИВНЕ
0123187404,С,КОВРОВЕ
0123187405,С,ЛУГОВЕ
0123187406,С,СТЕПАНІВКА
0123500000,,ПЕРВОМАЙСЬКИЙ РАЙОН/СМТ ПЕРВОМАЙСЬКЕ
0123555000,,СЕЛИЩА МІСЬКОГО ТИПУ ПЕРВОМАЙСЬКОГО Р-НУ
0123555100,Т,ПЕРВОМАЙСЬКЕ
0123555101,С,МАКАРІВКА
0123555102,С,ПШЕНИЧНЕ
0123555103,С,УПОРНЕ
0123580000,,СІЛЬРАДИ ПЕРВОМАЙСЬКОГО Р-НУ
0123580100,,ОЛЕКСІЇВСЬКА/С.ОЛЕКСІЇВКА
0123580101,С,ОЛЕКСІЇВКА
0123580102,С,ПРИВІЛЬНЕ
0123580200,,АБРИКОСІВСЬКА/С.АБРИКОСОВЕ
0123580201,С,АБРИКОСОВЕ
0123580400,,ВОЙКОВСЬКА/С.ВОЙКОВЕ
0123580401,С,ВОЙКОВЕ
0123580402,С,ВІДКРИТЕ
0123580403,С,ДМИТРІВКА
0123580800,,ГВАРДІЙСЬКА/С.ГВАРДІЙСЬКЕ
0123580801,С,ГВАРДІЙСЬКЕ
0123580802,С,БРАТСЬКЕ
0123580803,С,ОЛЕНІВКА
0123581300,,ГРИШИНСЬКА/С.ГРИШИНЕ
0123581301,С,ГРИШИНЕ
0123581302,С,ВИПАСНЕ
0123581303,С,ФРУНЗЕ
0123581900,,КАЛІНІНСЬКА/С.КАЛІНІНЕ
0123581901,С,КАЛІНІНЕ
0123581902,С,ЛЕВІТАНІВКА
0123582500,,КОРМІВСЬКА/С.КОРМОВЕ
0123582501,С,КОРМОВЕ
0123582502,С,ТИХОНІВКА
0123582503,С,ЧАПАЄВЕ
0123583600,,КРЕСТЯНІВСЬКА/С.КРЕСТЯНІВКА
0123583601,С,КРЕСТЯНІВКА
0123583602,С,НОВА ДЕРЕВНЯ
0123584700,,ОКТЯБРСЬКА/С.ОКТЯБРСЬКЕ
0123584701,С,ОКТЯБРСЬКЕ
0123584702,С,КАМ'ЯНКА
0123585200,,ОСТРОВСЬКА/С.ОСТРОВСЬКЕ
0123585201,С,ОСТРОВСЬКЕ
0123585203,С,МЕЛЬНИЧНЕ
0123585204,С,СНІГУРІВКА
0123585900,,ПРАВДІВСЬКА/С.ПРАВДА
0123585901,С,ПРАВДА
0123585902,С,АРБУЗОВЕ
0123585903,С,МАТВІЇВКА
0123586300,,СТАХАНОВСЬКА/С.СТАХАНОВКА
0123586301,С,СТАХАНОВКА
0123586302,С,ДАЛЬНЄ
0123586500,,СТЕПНІВСЬКА/С.СТЕПНЕ
0123586501,С,СТЕПНЕ
0123586502,С,КРИЛОВКА
0123586600,,СУСАНІНСЬКА/С.СУСАНІНЕ
0123586601,С,СУСАНІНЕ
0123586602,С,ПАНФІЛОВКА
0123586603,С,РІВНЕ
0123586900,,САРИБАШІВСЬКА/С.САРИ-БАШ
0123586901,С,САРИ-БАШ
0123587400,,ЧЕРНОВСЬКА/С.ЧЕРНОВЕ
0123587401,С,ЧЕРНОВЕ
0123587402,С,КАШТАНІВКА
0123587403,С,СВЕРДЛОВСЬКЕ
0123900000,,РОЗДОЛЬНЕНСЬКИЙ РАЙОН/СМТ РОЗДОЛЬНЕ
0123955000,,СЕЛИЩА МІСЬКОГО ТИПУ РОЗДОЛЬНЕНСЬКОГО Р-НУ
0123955100,Т,РОЗДОЛЬНЕ
0123955400,Т,НОВОСЕЛІВСЬКЕ
0123955401,С,СЄВЕРНЕ
0123980000,,СІЛЬРАДИ РОЗДОЛЬНЕНСЬКОГО Р-НУ
0123981100,,БЕРЕЗІВСЬКА/С.БЕРЕЗІВКА
0123981101,С,БЕРЕЗІВКА
0123981102,С,НИВА
0123981104,С,УЛЬЯНОВКА
0123982200,,БОТАНІЧНА/С.БОТАНІЧНЕ
0123982201,С,БОТАНІЧНЕ
0123982202,С,КУМОВЕ
0123982203,С,ЧЕРВОНЕ
0123983300,,ЗИМИНСЬКА/С.ЗИМИНЕ
0123983301,С,ЗИМИНЕ
0123983302,С,ВОРОНКИ
0123983303,С,КРАСНОАРМІЙСЬКЕ
0123983304,С,ОВРАЖНЕ
0123985400,,КОВИЛЬНІВСЬКА/С.КОВИЛЬНЕ
0123985401,С,КОВИЛЬНЕ
0123985402,С,ВІТРЯНКА
0123985403,С,ВОЛОЧАЇВКА
0123985404,С,МОЛОЧНЕ
0123985405,С,СІНОКІСНЕ
0123985600,,КУКУШКІНСЬКА/С.КУКУШКІНЕ
0123985601,С,КУКУШКІНЕ
0123985603,С,ВОГНІ
0123985900,,РУЧ'ЇВСЬКА/С.РУЧ'Ї
0123985901,С,РУЧ'Ї
0123985902,С,ГОРОДНЄ
0123985903,С,КОМИШНЕ
0123985904,С,КОМУНАРНЕ
0123985905,С,МАКСИМІВКА
0123985906,С,ФЕДОРІВКА
0123986400,,СЕРЕБРЯНСЬКА/С.СЕРЕБРЯНКА
0123986401,С,СЕРЕБРЯНКА
0123986402,С,БАХЧІВКА
0123986403,С,КАШТАНІВКА
0123986404,С,ОРЛІВКА
0123986405,С,СОКОЛИ
0123986406,С,ЧЕХОВЕ
0123986600,,СЛАВНІВСЬКА/С.СЛАВНЕ
0123986601,С,СЛАВНЕ
0123986602,С,КОТОВСЬКЕ
0123986603,С,РИЛЄЄВКА
0123986604,С,СТЕРЕГУЩЕ
0123987400,,СЛОВ'ЯНСЬКА/С.СЛОВ'ЯНСЬКЕ
0123987401,С,СЛОВ'ЯНСЬКЕ
0123987402,С,АВРОРА
0123988000,,ЧЕРНИШІВСЬКА/С.ЧЕРНИШОВЕ
0123988001,С,ЧЕРНИШОВЕ
0123988002,С,КРОПОТКІНЕ
0123988003,С,ПОРТОВЕ
0124300000,,САКСЬКИЙ РАЙОН/М.САКИ
0124355000,,СЕЛИЩА МІСЬКОГО ТИПУ САКСЬКОГО Р-НУ
0124355500,Т,НОВОФЕДОРІВКА
0124380000,,СІЛЬРАДИ САКСЬКОГО Р-НУ
0124380400,,ВЕРЕСАЄВСЬКА/С.ВЕРЕСАЄВЕ
0124380401,С,ВЕРЕСАЄВЕ
0124380402,С,ГЛІНКА
0124380600,,ВЕСЕЛІВСЬКА/С.ВЕСЕЛІВКА
0124380601,С,ВЕСЕЛІВКА
0124380602,С,ВЛАДНЕ
0124380604,С,ПОРФИРІВКА
0124380605,С,НАТАШИНЕ
0124380800,,ВИНОГРАДІВСЬКА/С.ВИНОГРАДОВЕ
0124380801,С,ВИНОГРАДОВЕ
0124380802,С,ВІТРІВКА
0124381300,,ВОРОБЙОВСЬКА/С.ВОРОБЙОВЕ
0124381301,С,ВОРОБЙОВЕ
0124381303,С,ФУРМАНОВЕ
0124381304,С,ШАУМЯН
0124381305,С,ШИШКИНЕ
0124381600,,ГЕРОЙСЬКА/С.ГЕРОЙСЬКЕ
0124381601,С,ГЕРОЙСЬКЕ
0124381602,С,ЯРКЕ
0124381800,,ДОБРУШИНСЬКА/С.ДОБРУШИНЕ
0124381801,С,ДОБРУШИНЕ
0124381803,С,ЄЛИЗАВЕТОВЕ
0124381804,С,ІЗВЕСТКОВЕ
0124381806,С,СОЛДАТСЬКЕ
0124381807,С,ШАЛАШІ
0124382000,,ЗЕРНІВСЬКА/С.ЗЕРНОВЕ
0124382001,С,ЗЕРНОВЕ
0124382003,С,НИЗИННЕ
0124382200,,ІВАНІВСЬКА/С.ІВАНІВКА
0124382201,С,ІВАНІВКА
0124382202,С,ЖАЙВОРОНКИ
0124382600,,КОЛЬЦОВСЬКА/С.КОЛЬЦОВЕ
0124382601,С,КОЛЬЦОВЕ
0124382602,С,ВОГНЕВЕ
0124382604,С,НИВА
0124383000,,КРАЙНЕНСЬКА/С.КРАЙНЄ
0124383001,С,КРАЙНЄ
0124383002,С,ВЕРШИННЕ
0124383004,С,ТРУДОВЕ
0124383400,,КРИМСЬКА/С.КРИМСЬКЕ
0124383401,С,КРИМСЬКЕ
0124383402,С,ВАЛЕНТИНОВЕ
0124383404,С,ІГОРІВКА
0124383406,С,СТЕПОВЕ
0124383900,,ЛІСНІВСЬКА/С.ЛІСНІВКА
0124383901,С,ЛІСНІВКА
0124383902,С,ВОЛОДИМИРІВКА
0124383903,С,ГАРШИНЕ
0124383904,С,КУЛИКІВКА
0124383905,С,ПРИБЕРЕЖНЕ
0124384400,,МИТЯЇВСЬКА/С.МИТЯЄВЕ
0124384401,С,МИТЯЄВЕ
0124384402,С,ДОЛИНКА
0124384403,С,ЖУРАВЛІ
0124384404,С,ЛИСТОВЕ
0124384405,С,ШОВКОВИЧНЕ
0124384700,,МОЛОЧНЕНСЬКА/С.МОЛОЧНЕ
0124384701,С,МОЛОЧНЕ
0124384702,С,АБРИКОСІВКА
0124384703,С,ВІТИНЕ
0124385200,,ОРІХІВСЬКА/С.ОРІХОВЕ
0124385201,С,ОРІХОВЕ
0124385202,С,МИХАЙЛІВКА
0124385204,С,ЧЕРВОНЕ
0124385205,С,ЧОБОТАРКА
0124385600,,ОХОТНИКІВСЬКА/С.ОХОТНИКОВЕ
0124385601,С,ОХОТНИКОВЕ
0124385602,С,ГРОМОВКА
0124385603,С,КАР'ЄРНЕ
0124385604,С,НАУМІВКА
0124385605,С,ОРЛЯНКА
0124385606,С,РУННЕ
0124386000,,РОМАШКІНСЬКА/С.РОМАШКИНЕ
0124386001,С,РОМАШКИНЕ
0124386002,С,КОЛОСКИ
0124386500,,СИЗІВСЬКА/С.СИЗІВКА
0124386501,С,СИЗІВКА
0124386502,С,ВОДОПІЙНЕ
0124386505,С,ІЛЛІНКА
0124386506,С,ЛУГОВЕ
0124386800,,СТОВПІВСЬКА/С.СТОВПОВЕ
0124386801,С,СТОВПОВЕ
0124386802,С,ЛУШИНЕ
0124387000,,СУВОРОВСЬКА/С.СУВОРОВСЬКЕ
0124387001,С,СУВОРОВСЬКЕ
0124387002,С,ВЕЛИКЕ
0124387004,С,ЖОВТОКАМ'ЯНКА
0124387005,С,КАМЕНОЛОМНЯ
0124387006,С,ЛИМАННЕ
0124387007,С,ПОБЄДНЕ
0124387008,С,ТУНЕЛЬНЕ
0124387700,,УЮТНЕНСЬКА/С.УЮТНЕ
0124387701,С,УЮТНЕ
0124388000,,ФРУНЗЕНСЬКА/С.ФРУНЗЕ
0124388001,С,ФРУНЗЕ
0124388800,,ШТОРМІВСЬКА/С.ШТОРМОВЕ
0124388801,С,ШТОРМОВЕ
0124388802,С,КРИЛОВКА
0124388803,С,ПОПІВКА
0124388804,С,ПРИВІТНЕ
0124388805,С,ХУТОРОК
0124700000,,СІМФЕРОПОЛЬСЬКИЙ РАЙОН/М.СІМФЕРОПОЛЬ
0124755000,,СЕЛИЩА МІСЬКОГО ТИПУ СІМФЕРОПОЛЬСЬКОГО Р-НУ
0124755300,Т,ГВАРДІЙСЬКЕ
0124755301,С,КРАСНА ЗОРЬКА
0124755302,С,МАЛЕНЬКЕ
0124755303,С,СОФІЇВКА
0124755304,С,НОВИЙ САД
0124755600,Т,МОЛОДІЖНЕ
0124755601,С,СОНЯЧНЕ
0124755800,Т,МИКОЛАЇВКА
0124755802,С,ВІННИЦЬКЕ
0124755803,С,КЛЮЧОВЕ
0124755804,С,ОЛЕКСАНДРІВКА
0124755805,С,ПЕТРІВКА
0124755806,С,РОЗДОЛЛЯ
0124755807,С,ТЕПЛІВКА
0124780000,,СІЛЬРАДИ СІМФЕРОПОЛЬСЬКОГО Р-НУ
0124781300,,ДОБРІВСЬКА/С.ДОБРЕ
0124781301,С,ДОБРЕ
0124781302,С,АНДРУСОВЕ
0124781303,С,ЗАРІЧНЕ
0124781304,С,КРАСНОЛІССЯ
0124781305,С,ЛОЗОВЕ
0124781306,С,МРАМОРНЕ
0124781307,С,ПЕРЕВАЛЬНЕ
0124781308,С,ПЕТРОПАВЛІВКА
0124781309,С,ПІОНЕРСЬКЕ
0124781310,С,ПРИВІЛЬНЕ
0124781311,С,ФЕРСМАНОВЕ
0124781312,С,ЧАЙКОВСЬКЕ
0124781900,,ДОНСЬКА/С.ДОНСЬКЕ
0124781901,С,ДОНСЬКЕ
0124781902,С,ВЕРХНЬОКУРГАННЕ
0124781903,Щ,ДАВИДОВЕ
0124781904,С,ДМИТРОВЕ
0124781905,С,КЛЕНІВКА
0124781906,С,НИЖНЬОКУРГАННЕ
0124781907,С,СПОКІЙНЕ
