"TE","NP","NU","NR"
"0120782700",,"ЗЕМЛЯНИЧНЕНСЬКА/С.ЗЕМЛЯНИЧНЕ","ЗЕМЛЯНИЧНЕНСКИЙ/С.ЗЕМЛЯНИЧНОЕ"
"0120782701","С","ЗЕМЛЯНИЧНЕ","ЗЕМЛЯНИЧНОЕ"
"0120782702","С","ОЛЕНІВКА","ЕЛЕНОВКА"
"0120782703","С","ОПИТНЕ","ОПЫТНОЕ"
"0120782704","С","РАДІСНЕ","РАДОСТНОЕ"
"0120782705","С","РОДНИКИ","РОДНИКИ"
"0120782706","С","СИНЬОКАМ'ЯНКА","СИНЕКАМЕНКА"
"0120782707","С","УЧЕБНЕ","УЧЕБНОЕ"
"0120782900",,"ЗИБИНСЬКА/С.ЗИБИНИ","ЗЫБИНСКИЙ/С.ЗЫБИНЫ"
"0120782901","С","ЗИБИНИ","ЗЫБИНЫ"
"0120782902","С","МЕЛЬНИКИ","МЕЛЬНИКИ"
"0120783400",,"КРИНИЧНЕНСЬКА/С.КРИНИЧНЕ","КРИНИЧНЕНСКИЙ/С.КРИНИЧНОЕ"
"0120783401","С","КРИНИЧНЕ","КРИНИЧНОЕ"
"0120783402","С","АЛЕКСЄЄВКА","АЛЕКСЕЕВКА"
"0120783404","С","ГОЛОВАНІВКА","ГОЛОВАНОВКА"
"0120783405","С","КАРАСІВКА","КАРАСОВКА"
"0120783406","С","КИРПИЧНЕ","КИРПИЧНОЕ"
"0120783407","С","КРАСНОСЕЛІВКА","КРАСНОСЕЛОВКА"
"0120783409","С","ЯБЛУЧНЕ","ЯБЛОЧНОЕ"
"0120783600",,"КРИМСЬКОРОЗІВСЬКА/С.КРИМСЬКА РОЗА","КРЫМСКОРОЗОВСКИЙ/С.КРЫМСКАЯ РОЗА"
"0120783601","С","КРИМСЬКА РОЗА","КРЫМСКАЯ РОЗА"
"0120783603","С","ВИШНЕВЕ","ВИШНЕВОЕ"
"0120783800",,"КУРСЬКА/С.КУРСЬКЕ","КУРСКИЙ/С.КУРСКОЕ"
"0120783801","С","КУРСЬКЕ","КУРСКОЕ"
"0120783802","С","ТОПОЛІВКА","ТОПОЛЕВКА"
"0120784200",,"МЕЛЬНИЧНА/С.МЕЛЬНИЧНЕ","МЕЛЬНИЧНЫЙ/С.МЕЛЬНИЧНОЕ"
"0120784201","С","МЕЛЬНИЧНЕ","МЕЛЬНИЧНОЕ"
"0120784202","С","УДАРНЕ","УДАРНОЕ"
"0120784600",,"МІЧУРІНСЬКА/С.МІЧУРІНСЬКЕ","МИЧУРИНСКИЙ/С.МИЧУРИНСКОЕ"
"0120784601","С","МІЧУРІНСЬКЕ","МИЧУРИНСКОЕ"
"0120784602","С","ЛІЧЕБНЕ","ЛЕЧЕБНОЕ"
"0120785000",,"МУРОМСЬКА/С.МУРОМСЬКЕ","МУРОМСКИЙ/С.МУРОМСКОЕ"
"0120785001","С","МУРОМСЬКЕ","МУРОМСКОЕ"
"0120785002","С","ДИВНЕ","ДИВНОЕ"
"0120785003","С","КРИВЦОВЕ","КРИВЦОВО"
"0120785005","С","СІННЕ","СЕННОЕ"
"0120785006","С","ХЛІБНЕ","ХЛЕБНОЕ"
"0120785800",,"НОВОЖИЛІВСЬКА/С.НОВОЖИЛІВКА","НОВОЖИЛОВСКИЙ/С.НОВОЖИЛОВКА"
"0120785801","С","НОВОЖИЛІВКА","НОВОЖИЛОВКА"
"0120785802","С","АННІВКА","АННОВКА"
"0120785803","С","НОВООЛЕКСАНДРІВКА","НОВОАЛЕКСАНДРОВКА"
"0120785804","С","ТУРГЕНЄВЕ","ТУРГЕНЕВО"
"0120786300",,"РУСАКІВСЬКА/С.РУСАКІВКА","РУСАКОВСКИЙ/С.РУСАКОВКА"
"0120786301","С","РУСАКІВКА","РУСАКОВКА"
"0120786302","С","ЛУГОВЕ","ЛУГОВОЕ"
"0120788400",,"ЦВІТОЧНЕНСЬКА/С.ЦВІТОЧНЕ","ЦВЕТОЧНЕНСКИЙ/С.ЦВЕТОЧНОЕ"
"0120788401","С","ЦВІТОЧНЕ","ЦВЕТОЧНОЕ"
"0120788402","С","ДОЛИНІВКА","ДОЛИНОВКА"
"0120788800",,"ЧОРНОПІЛЬСЬКА/С.ЧОРНОПІЛЛЯ","ЧЕРНОПОЛЬСКИЙ/С.ЧЕРНОПОЛЬЕ"
"0120788801","С","ЧОРНОПІЛЛЯ","ЧОРНОПОЛЬЕ"
"0120788802","С","ДОЗОРНЕ","ДОЗОРНОЕ"
"0120788803","С","КИЗИЛІВКА","КИЗИЛОВКА"
"0120788804","С","УЛЬЯНОВКА","УЛЬЯНОВКА"
"0121100000",,"ДЖАНКОЙСЬКИЙ РАЙОН/М.ДЖАНКОЙ","ДЖАНКОЙСКИЙ РАЙОН/Г.ДЖАНКОЙ"
"0121155000",,"СЕЛИЩА МІСЬКОГО ТИПУ ДЖАНКОЙСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА ДЖАНКОЙСКОГО Р-НА"
"0121155200","Т","АЗОВСЬКЕ","АЗОВСКОЕ"
"0121155400","Т","ВІЛЬНЕ","ВОЛЬНОЕ"
"0121180000",,"СІЛЬРАДИ ДЖАНКОЙСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ ДЖАНКОЙСКОГО Р-НА"
"0121180600",,"ЄРМАКІВСЬКА/С.ЄРМАКОВЕ","ЕРМАКОВСКИЙ/С.ЕРМАКОВО"
"0121180601","С","ЄРМАКОВЕ","ЕРМАКОВО"
"0121180602","С","ВІТВИСТЕ","ВЕТВИСТОЕ"
"0121180603","С","КОПАНІ","КОПАНИ"
"0121180604","С","ОСТРОВСЬКЕ","ОСТРОВСКОЕ"
"0121180605","С","ПРИДОРОЖНЄ","ПРИДОРОЖНОЕ"
"0121180606","С","СОЛОНЕ ОЗЕРО","СОЛЕНОЕ ОЗЕРО"
"0121180607","С","СТОВПОВЕ","СТОЛБОВОЕ"
"0121180800",,"ЗАВІТ-ЛЕНІНСЬКА/С.ЗАВІТ-ЛЕНІНСЬКИЙ","ЗАВЕТ-ЛЕНИНСКИЙ/С.ЗАВЕТ-ЛЕНИНСКИЙ"
"0121180801","С","ЗАВІТ-ЛЕНІНСЬКИЙ","ЗАВЕТ-ЛЕНИНСКИЙ"
"0121180802","С","ЗЕЛЕНИЙ ЯР","ЗЕЛЕНЫЙ ЯР"
"0121180803","С","МАРТИНІВКА","МАРТЫНОВКА"
"0121180804","С","МІЛКОВОДНЕ","МЕЛКОВОДНОЕ"
"0121180805","С","ПУШКІНЕ","ПУШКИНО"
"0121180806","С","СОЛОНЦЕВЕ","СОЛОНЦОВОЕ"
"0121181300",,"ЗАРІЧНЕНСЬКА/С.ЗАРІЧНЕ","ЗАРЕЧНЕНСКИЙ/С.ЗАРЕЧНОЕ"
"0121181301","С","ЗАРІЧНЕ","ЗАРЕЧНОЕ"
"0121181302","С","АРМІЙСЬКЕ","АРМЕЙСКОЕ"
"0121181303","С","БОЛОТНЕ","БОЛОТНОЕ"
"0121181305","Щ","МИТЮРИНЕ","МИТЮРИНО"
"0121181306","С","НИЗИННЕ","НИЗИННОЕ"
"0121181307","С","ПЕРЕПІЛКИНЕ","ПЕРЕПЕЛКИНО"
"0121181308","С","СУМІЖНЕ","СМЕЖНОЕ"
"0121181500",,"ІЗУМРУДНІВСЬКА/С.ІЗУМРУДНЕ","ИЗУМРУДНОВСКИЙ/С.ИЗУМРУДНОЕ"
"0121181501","С","ІЗУМРУДНЕ","ИЗУМРУДНОЕ"
"0121181502","С","ДМИТРІВКА","ДМИТРИЕВКА"
"0121181503","С","КАЛИНІВКА","КАЛИНОВКА"
"0121181504","С","МІЧУРІНІВКА","МИЧУРИНОВКА"
"0121181505","С","НОВОСТЕПОВЕ","НОВОСТЕПНОЕ"
"0121181506","С","ОВОЧЕВЕ","ОВОЩНОЕ"
"0121181700",,"КІНДРАТІВСЬКА/С.КІНДРАТОВЕ","КОНДРАТЬЕВСКИЙ/С.КОНДРАТЬЕВО"
"0121181701","С","КІНДРАТОВЕ","КОНДРАТЬЕВО"
"0121181702","Щ","ДОРОЖНЄ","ДОРОЖНОЕ"
"0121181703","С","РУБИНІВКА","РУБИНОВКА"
"0121181704","С","СОВЄТСЬКЕ","СОВЕТСКОЕ"
"0121181800",,"КРИМКІВСЬКА/С.КРИМКА","КРЫМКОВСКИЙ/С.КРЫМКА"
"0121181801","С","КРИМКА","КРЫМКА"
"0121181900",,"ЛОБАНІВСЬКА/С.ЛОБАНОВЕ","ЛОБАНОВСКИЙ/С.ЛОБАНОВО"
"0121181901","С","ЛОБАНОВЕ","ЛОБАНОВО"
"0121181903","С","ЖИЛИНЕ","ЖИЛИНО"
"0121181904","С","МАР'ЇНЕ","МАРЬИНО"
"0121181905","С","ОРДЕНОНОСНЕ","ОРДЕНОНОСНОЕ"
"0121181906","Щ","ЯСНЕ","ЯСНОЕ"
"0121182300",,"ЛУГАНСЬКА/С.ЛУГАНСЬКЕ","ЛУГАНСКИЙ/С.ЛУГАНСКОЕ"
"0121182301","С","ЛУГАНСЬКЕ","ЛУГАНСКОЕ"
"0121182302","С","КОВИЛЬНЕ","КОВЫЛЬНОЕ"
"0121182303","С","ПРОБУДЖЕННЯ","ПРОБУЖДЕНИЕ"
"0121182304","С","ТУТОВЕ","ТУТОВОЕ"
"0121182305","С","УДАРНЕ","УДАРНОЕ"
"0121182500",,"МАЙСЬКА/С.МАЙСЬКЕ","МАЙСКИЙ/С.МАЙСКОЕ"
"0121182501","С","МАЙСЬКЕ","МАЙСКОЕ"
"0121182502","С","БЛИЖНЄ","БЛИЖНЕЕ"
"0121182503","С","ЛАРИНЕ","ЛАРИНО"
"0121182505","С","ОКТЯБР","ОКТЯБРЬ"
"0121182506","С","ПОЛЬОВЕ","ПОЛЕВОЕ"
"0121182900",,"МАСЛІВСЬКА/С.МАСЛОВЕ","МАСЛОВСКИЙ/С.МАСЛОВО"
"0121182901","С","МАСЛОВЕ","МАСЛОВО"
"0121182902","С","КОМСОМОЛЬСЬКЕ","КОМСОМОЛЬСКОЕ"
"0121182903","С","СУБОТНИК","СУББОТНИК"
"0121183400",,"МЕДВЕДІВСЬКА/С.МЕДВЕДІВКА","МЕДВЕДЕВСКИЙ/С.МЕДВЕДЕВКА"
"0121183401","С","МЕДВЕДІВКА","МЕДВЕДЕВКА"
"0121183402","С","ПЕРЕДМІСТНЕ","ПРЕДМОСТНОЕ"
"0121183403","С","ТУРГЕНЄВЕ","ТУРГЕНЕВО"
"0121183600",,"МИРНІВСЬКА/С.МИРНІВКА","МИРНОВСКИЙ/С.МИРНОВКА"
"0121183601","С","МИРНІВКА","МИРНОВКА"
"0121183602","С","ДНІПРОВКА","ДНЕПРОВКА"
"0121183603","С","КОСТЯНТИНІВКА","КОНСТАНТИНОВКА"
"0121183604","С","РИСАКОВЕ","РЫСАКОВО"
"0121183605","С","ТИМОФІЇВКА","ТИМОФЕЕВКА"
"0121183800",,"НОВОКРИМСЬКА/С.НОВОКРИМСЬКЕ","НОВОКРЫМСКИЙ/С.НОВОКРЫМСКОЕ"
"0121183801","С","НОВОКРИМСЬКЕ","НОВОКРЫМСКОЕ"
"0121183802","С","ІСТОЧНЕ","ИСТОЧНОЕ"
"0121183803","С","ПАВЛІВКА","ПАВЛОВКА"
"0121184000",,"ПАХАРІВСЬКА/С.ПАХАРІВКА","ПАХАРЕВСКИЙ/С.ПАХАРЕВКА"
"0121184001","С","ПАХАРІВКА","ПАХАРЕВКА"
"0121184002","С","ВИПАСНЕ","ВЫПАСНОЕ"
"0121184100",,"ПОБЄДНЕНСЬКА/С.ПОБЄДНЕ","ПОБЕДНЕНСКИЙ/С.ПОБЕДНОЕ"
"0121184101","С","ПОБЄДНЕ","ПОБЕДНОЕ"
"0121184102","С","НОВЕ ЖИТТЯ","НОВАЯ ЖИЗНЬ"
"0121184103","С","ТАРАСІВКА","ТАРАСОВКА"
"0121184200",,"ПРОСТОРНЕНСЬКА/С.ПРОСТОРНЕ","ПРОСТОРНЕНСКИЙ/С.ПРОСТОРНОЕ"
"0121184201","С","ПРОСТОРНЕ","ПРОСТОРНОЕ"
"0121184202","С","АНТОНІВКА","АНТОНОВКА"
"0121184203","С","АПРЕЛІВКА","АПРЕЛЕВКА"
"0121184205","С","БОРОДІНО","БОРОДИНО"
"0121184207","С","НИЖНІ ОТРОЖКИ","НИЖНИЕ ОТРОЖКИ"
"0121184208","С","СЛОВ'ЯНСЬКЕ","СЛАВЯНСКОЕ"
"0121184209","С","СТЕФАНІВКА","СТЕФАНОВКА"
"0121185500",,"РОЗКІШНЕНСЬКА/С.РОЗКІШНЕ","РОСКОШНЕНСКИЙ/С.РОСКОШНОЕ"
"0121185501","С","РОЗКІШНЕ","РОСКОШНОЕ"
"0121185503","С","ЗЕРНОВЕ","ЗЕРНОВОЕ"
"0121185600",,"РОЩИНСЬКА/С.РОЩИНЕ","РОЩИНСКИЙ/С.РОЩИНО"
"0121185601","С","РОЩИНЕ","РОЩИНО"
"0121185602","С","БЛИЖНЬОГОРОДСЬКЕ","БЛИЖНЕГОРОДСКОЕ"
"0121185603","С","КРАСНОДОЛЬНЕ","КРАСНОДОЛЬНОЕ"
"0121185604","С","ОЗЕРНЕ","ОЗЕРНОЕ"
"0121185605","С","СЄРНОВОДСЬКЕ","СЕРНОВОДНОЕ"
"0121185800",,"СВІТЛІВСЬКА/С.СВІТЛЕ","СВЕТЛОВСКИЙ/С.СВЕТЛОЕ"
"0121185801","С","СВІТЛЕ","СВЕТЛОЕ"
"0121185805","С","БЛАГОДАТНЕ","БЛАГОДАТНОЕ"
"0121186000",,"СТАЛЬНЕНСЬКА/С.СТАЛЬНЕ","СТАЛЬНЕНСКИЙ/С.СТАЛЬНОЕ"
"0121186001","С","СТАЛЬНЕ","СТАЛЬНОЕ"
"0121186002","С","МНОГОВОДНЕ","МНОГОВОДНОЕ"
"0121186003","С","НОВОКОСТЯНТИНІВКА","НОВОКОНСТАНТИНОВКА"
"0121186004","С","НОВОПАВЛІВКА","НОВОПАВЛОВКА"
"0121186005","С","НОВОФЕДОРІВКА","НОВОФЕДОРОВКА"
"0121186006","С","ОЗЕРКИ","ОЗЕРКИ"
"0121186007","С","ПРОЗРАЧНЕ","ПРОЗРАЧНОЕ"
"0121186008","С","РІДНЕ","РОДНОЕ"
"0121186200",,"ТАБАЧНЕНСЬКА/С.ТАБАЧНЕ","ТАБАЧНЕНСКИЙ/С.ТАБАЧНОЕ"
"0121186201","С","ТАБАЧНЕ","ТАБАЧНОЕ"
"0121186203","С","НОВОСІЛЬЦЕВЕ","НОВОСЕЛЬЦЕВО"
"0121186207","С","ФЕДОРІВКА","ФЕДОРОВКА"
"0121186209","С","ХЛІБНЕ","ХЛЕБНОЕ"
"0121187200",,"ЦІЛИННА/С.ЦІЛИННЕ","ЦЕЛИННЫЙ/С.ЦЕЛИННОЕ"
"0121187201","С","ЦІЛИННЕ","ЦЕЛИННОЕ"
"0121187202","С","КОЛОСКИ","КОЛОСКИ"
"0121187203","С","ТОМАШІВКА","ТОМАШЕВКА"
"0121187500",,"ЧАЙКИНСЬКА/С.ЧАЙКИНЕ","ЧАЙКИНСКИЙ/С.ЧАЙКИНО"
"0121187501","С","ЧАЙКИНЕ","ЧАЙКИНО"
"0121187503","С","МИСОВЕ","МЫСОВОЕ"
"0121188200",,"ЯРКІВСЬКА/С.ЯРКЕ","ЯРКОВСКИЙ/С.ЯРКОЕ"
"0121188201","С","ЯРКЕ","ЯРКОЕ"
"0121188204","С","ЯСТРУБЦІ","ЯСТРЕБЦЫ"
"0121188400",,"ЯРКОПОЛЕНСЬКА/С.ЯРКЕ ПОЛЕ","ЯРКОПОЛЕНСКИЙ/С.ЯРКОЕ ПОЛЕ"
"0121188401","С","ЯРКЕ ПОЛЕ","ЯРКОЕ ПОЛЕ"
"0121188402","С","АРБУЗІВКА","АРБУЗОВКА"
"0121188403","С","ВЕСЕЛЕ","ВЕСЕЛОЕ"
"0121188404","С","ВІДРАДНЕ","ОТРАДНОЕ"
"0121188406","Щ","ДІБРІВКА","ДУБРОВКА"
"0121188407","С","НАХІДКА","НАХОДКА"
"0121188408","С","СЛОВ'ЯНКА","СЛАВЯНКА"
"0121188409","С","ТІМІРЯЗЄВЕ","ТИМИРЯЗЕВО"
"0121188600",,"ЯСНОПОЛЯНСЬКА/С.ЯСНОПОЛЯНСЬКЕ","ЯСНОПОЛЯНСКИЙ/С.ЯСНОПОЛЯНСКОЕ"
"0121188601","С","ЯСНОПОЛЯНСЬКЕ","ЯСНОПОЛЯНСКОЕ"
"0121188602","Щ","ВОЛОДИНЕ","ВОЛОДИНО"
"0121188603","С","РЮМШИНЕ","РЮМШИНО"
"0121600000",,"КІРОВСЬКИЙ РАЙОН/СМТ КІРОВСЬКЕ","КИРОВСКИЙ РАЙОН/ПГТ КИРОВСКОЕ"
"0121610000",,"МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ КІРОВСЬКОГО Р-НУ","ГОРОДА РАЙОННОГО ПОДЧИНЕНИЯ КИРОВСКОГО Р-НА"
"0121610400","М","СТАРИЙ КРИМ","СТАРЫЙ КРЫМ"
"0121655000",,"СЕЛИЩА МІСЬКОГО ТИПУ КІРОВСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА КИРОВСКОГО Р-НА"
"0121655100","Т","КІРОВСЬКЕ","КИРОВСКОЕ"
"0121680000",,"СІЛЬРАДИ КІРОВСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ КИРОВСКОГО Р-НА"
"0121680100",,"АБРИКОСІВСЬКА/С.АБРИКОСІВКА","АБРИКОСОВСКИЙ/С.АБРИКОСОВКА"
"0121680101","С","АБРИКОСІВКА","АБРИКОСОВКА"
"0121680102","С","БАБЕНКОВЕ","БАБЕНКОВО"
"0121680103","С","КРИНИЧКИ","КРИНИЧКИ"
"0121680104","С","МАТРОСІВКА","МАТРОСОВКА"
"0121680800",,"ВЛАДИСЛАВІВСЬКА/С.ВЛАДИСЛАВІВКА","ВЛАДИСЛАВОВСКИЙ/С.ВЛАДИСЛАВОВКА"
"0121680801","С","ВЛАДИСЛАВІВКА","ВЛАДИСЛАВОВКА"
"0121680802","Щ","ВУЗЛОВЕ","УЗЛОВОЕ"
"0121681800",,"ЖУРАВСЬКА/С.ЖУРАВКИ","ЖУРАВСКИЙ/С.ЖУРАВКИ"
"0121681801","С","ЖУРАВКИ","ЖУРАВКИ"
"0121681802","С","ВИДНЕ","ВИДНОЕ"
"0121681803","С","МАКІВСЬКЕ","МАКОВСКОЕ"
"0121681804","С","НОВОПОКРОВКА","НОВОПОКРОВКА"
"0121681805","С","ТУТІВКА","ТУТОВКА"
"0121682200",,"ЗОЛОТОПОЛЕНСЬКА/С.ЗОЛОТЕ ПОЛЕ","ЗОЛОТОПОЛЕНСКИЙ/С.ЗОЛОТОЕ ПОЛЕ"
"0121682201","С","ЗОЛОТЕ ПОЛЕ","ЗОЛОТОЕ ПОЛЕ"
"0121682202","С","ВІДРОДЖЕННЯ","ВОЗРОЖДЕНИЕ"
"0121682600",,"ЛЬГОВСЬКА/С.ЛЬГОВСЬКЕ","ЛЬГОВСКИЙ/С.ЛЬГОВСКОЕ"
"0121682601","С","ЛЬГОВСЬКЕ","ЛЬГОВСКОЕ"
"0121682602","С","ДОБРОЛЮБОВКА","ДОБРОЛЮБОВКА"
"0121682603","С","ДОЛИННЕ","ДОЛИННОЕ"
"0121682604","С","ПРУДИ","ПРУДЫ"
"0121682800",,"ПАРТИЗАНСЬКА/С.ПАРТИЗАНИ","ПАРТИЗАНСКИЙ/С.ПАРТИЗАНЫ"
"0121682801","С","ПАРТИЗАНИ","ПАРТИЗАНЫ"
"0121682802","С","СПАСІВКА","СПАСОВКА"
"0121683000",,"ПЕРВОМАЙСЬКА/С.ПЕРВОМАЙСЬКЕ","ПЕРВОМАЙСКИЙ/С.ПЕРВОМАЙСКОЕ"
"0121683001","С","ПЕРВОМАЙСЬКЕ","ПЕРВОМАЙСКОЕ"
"0121683002","С","ВІДВАЖНЕ","ОТВАЖНОЕ"
"0121683003","С","ЖЕМЧУЖИНА КРИМУ","ЖЕМЧУЖИНА КРЫМА"
"0121683004","С","ІЗОБІЛЬНЕ","ИЗОБИЛЬНОЕ"
"0121683005","С","ІЗЮМІВКА","ИЗЮМОВКА"
"0121683006","С","КЛЮЧОВЕ","КЛЮЧЕВОЕ"
"0121683007","С","САДОВЕ","САДОВОЕ"
"0121683400",,"ПРИВІТНЕНСЬКА/С.ПРИВІТНЕ","ПРИВЕТНЕНСКИЙ/С.ПРИВЕТНОЕ"
"0121683401","С","ПРИВІТНЕ","ПРИВЕТНОЕ"
"0121683402","С","АЙВАЗОВСЬКЕ","АЙВАЗОВСКОЕ"
"0121683900",,"СИНИЦИНСЬКА/С.СИНИЦИНЕ","СИНИЦЫНСКИЙ/С.СИНИЦЫНО"
"0121683901","С","СИНИЦИНЕ","СИНИЦЫНО"
"0121683902","С","ВАСИЛЬКОВЕ","ВАСИЛЬКОВОЕ"
"0121683903","С","КРАСНІВКА","КРАСНОВКА"
"0121684600",,"ТОКАРЄВСЬКА/С.ТОКАРЄВЕ","ТОКАРЕВСКИЙ/С.ТОКАРЕВО"
"0121684601","С","ТОКАРЄВЕ","ТОКАРЕВО"
"0121684605","С","ШУБИНЕ","ШУБИНО"
"0121686100",,"ЯРКОПОЛЕНСЬКА/С.ЯРКЕ ПОЛЕ","ЯРКОПОЛЕНСКИЙ/С.ЯРКОЕ ПОЛЕ"
"0121686101","С","ЯРКЕ ПОЛЕ","ЯРКОЕ ПОЛЕ"
"0121686103","С","КРАСНОСІЛЬСЬКЕ","КРАСНОСЕЛЬСКОЕ"
"0121686105","С","НОВОФЕДОРІВКА","НОВОФЕДОРОВКА"
"0121686107","С","ОРІХІВКА","ОРЕХОВКА"
"0121686109","С","СОФІЇВКА","СОФИЕВКА"
"0121686111","С","ТРУДОЛЮБІВКА","ТРУДОЛЮБОВКА"
"0122000000",,"КРАСНОГВАРДІЙСЬКИЙ РАЙОН/СМТ КРАСНОГВАРДІЙСЬКЕ","КРАСНОГВАРДЕЙСКИЙ РАЙОН/ПГТ КРАСНОГВАРДЕЙСКОЕ"
"0122055000",,"СЕЛИЩА МІСЬКОГО ТИПУ КРАСНОГВАРДІЙСЬКОГО Р-НУ","ПОСЕЛКИ ГОРОДСКОГО ТИПА КРАСНОГВАРДЕЙСКОГО Р-НА"
"0122055100","Т","КРАСНОГВАРДІЙСЬКЕ","КРАСНОГВАРДЕЙСКОЕ"
"0122055101","Щ","ВИДНЕ","ВИДНОЕ"
"0122055400","Т","ОКТЯБРСЬКЕ","ОКТЯБРЬСКОЕ"
"0122080000",,"СІЛЬРАДИ КРАСНОГВАРДІЙСЬКОГО Р-НУ","СЕЛЬСОВЕТЫ КРАСНОГВАРДЕЙСКОГО Р-НА"
"0122080300",,"ОЛЕКСАНДРІВСЬКА/С.ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВСКИЙ/С.АЛЕКСАНДРОВКА"
"0122080301","С","ОЛЕКСАНДРІВКА","АЛЕКСАНДРОВКА"
"0122080302","С","КРАСНОДАРКА","КРАСНОДАРКА"
"0122080303","С","ТИМАШІВКА","ТИМАШОВКА"
"0122080600",,"АМУРСЬКА/С.АМУРСЬКЕ","АМУРСКИЙ/С.АМУРСКОЕ"
"0122080601","С","АМУРСЬКЕ","АМУРСКОЕ"
"0122080602","С","ІСКРА","ИСКРА"
"0122080603","С","НОВОЗУЇВКА","НОВОЗУЕВКА"
"0122080604","С","НОВОІВАНІВКА","НОВОИВАНОВКА"
"0122080605","С","НОВООЛЕКСІЄВКА","НОВОАЛЕКСЕЕВКА"
"0122080606","С","ЦВІТКОВЕ","ЦВЕТКОВО"
"0122080800",,"ВОСХОДНЕНСЬКА/С.ВОСХОД","ВОСХОДНЕНСКИЙ/С.ВОСХОД"
"0122080801","С","ВОСХОД","ВОСХОД"
"0122080802","С","ВОЛОДИМИРОВЕ","ВЛАДИМИРОВО"
"0122080803","С","ДОХОДНЕ","ДОХОДНОЕ"
"0122080804","С","ЗОРЯ","ЗАРЯ"
"0122080805","С","ЗНАМ'ЯНКА","ЗНАМЕНКА"
"0122080806","С","КЛИМОВЕ","КЛИМОВО"
"0122080807","С","НАХІМОВЕ","НАХИМОВО"
"0122080808","С","НОВОСІЛЬЦІ","НОВОСЕЛЬЦЫ"
"0122080809","С","ПЛОДОРОДНЕ","ПЛОДОРОДНОЕ"
"0122080810","С","ЧАПАЄВЕ","ЧАПАЕВО"
"0122081000",,"ЗЕРНІВСЬКА/С.ЗЕРНОВЕ","ЗЕРНОВСКИЙ/С.ЗЕРНОВОЕ"
"0122081001","С","ЗЕРНОВЕ","ЗЕРНОВОЕ"
"0122081002","С","НОВОКАТЕРИНІВКА","НОВОЕКАТЕРИНОВКА"
"0122081400",,"КАЛІНІНСЬКА/С.КАЛІНІНЕ","КАЛИНИНСКИЙ/С.КАЛИНИНО"
"0122081401","С","КАЛІНІНЕ","КАЛИНИНО"
"0122081402","С","ВИШНЯКІВКА","ВИШНЯКОВКА"
"0122081403","С","КОМУНАРИ","КОММУНАРЫ"
"0122081404","С","ПОБЄДИНЕ","ПОБЕДИНО"
"0122081800",,"КЛЕПИНІНСЬКА/С.КЛЕПИНІНЕ","КЛЕПИНИНСКИЙ/С.КЛЕПИНИНО"
"0122081801","С","КЛЕПИНІНЕ","КЛЕПИНИНО"
"0122081802","С","КАРПІВКА","КАРПОВКА"
"0122081803","С","ЯСТРУБІВКА","ЯСТРЕБОВКА"
"0122082200",,"КОЛОДЯЗЯНСЬКА/С.КОЛОДЯЗНЕ","КОЛОДЕЗЯНСКИЙ/С.КОЛОДЕЗНОЕ"
"0122082201","С","КОЛОДЯЗНЕ","КОЛОДЕЗНОЕ"
"0122082203","С","ДОКУЧАЄВЕ","ДОКУЧАЕВО"
"0122082205","С","ПОЛОГИ","ПОЛОГИ"
"0122082400",,"КОТЕЛЬНИКІВСЬКА/С.КОТЕЛЬНИКОВЕ","КОТЕЛЬНИКОВСКИЙ/С.КОТЕЛЬНИКОВО"
"0122082401","С","КОТЕЛЬНИКОВЕ","КОТЕЛЬНИКОВО"
"0122082402","С","ДІБРІВСЬКЕ","ДУБРОВСКОЕ"
"0122082403","С","МАШИНЕ","МАШИНО"
"0122082600",,"КРАСНОЗНАМ'ЯНСЬКА/С.КРАСНОЗНАМ'ЯНКА","КРАСНОЗНАМЕНСКИЙ/С.КРАСНОЗНАМЕНКА"
"0122082601","С","КРАСНОЗНАМ'ЯНКА","КРАСНОЗНАМЕНКА"
"0122082602","С","РАДУЖНЕ","РАДУЖНОЕ"
"0122082603","С","РОГОВЕ","РОГОВО"
"0122082604","С","СИМОНЕНКО","СИМОНЕНКО"
"0122082605","С","ТИМОШЕНКО","ТИМОШЕНКО"
"0122082606","С","ТРАКТОВЕ","ТРАКТОВОЕ"
"0122082900",,"ЛЕНІНСЬКА/С.ЛЕНІНСЬКЕ","ЛЕНИНСКИЙ/С.ЛЕНИНСКОЕ"
"0122082901","С","ЛЕНІНСЬКЕ","ЛЕНИНСКОЕ"
"0122082902","С","ЗВІЗДНЕ","ЗВЕЗДНОЕ"
